id,family_id,code,sku,name,image,slug,parent,is_enabled,values,associations,created_at,updated_at
1,380,d433c150-f5fb-40d8-bee6-456df4a90f88,100121,OKI B4100 Desktop printer,8/1/9/7/8197e49199a5d04abae7c5da2977596040261045_100121_1864.jpg,oki-b4100-desktop-printer,,true,"{""maximum_print_size"":""A3 (297 x 420 mm)"",""multifunctional_functions"":[""Copy"",""Print"",""Scan""],""price"":{""EUR"":100.0,""RUB"":25000.0},""picture"":""8\/1\/9\/7\/8197e49199a5d04abae7c5da2977596040261045_100121_1864.jpg"",""name"":""OKI B4100 Desktop printer"",""power_requirements"":""1500"",""weight"":{""amount"":""2"",""unit"":""\u043a\u0433""},""release_date"":""12 \u0430\u0432\u0433. 2005"",""price_updated_date"":""19 \u043c\u0430\u044f 2023""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[""1002311"",""10058031"",""10066052"",""10499018""],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[""1002239""],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
2,380,fb4d5c61-0049-4def-ace5-466eaa653cb3,100136,OKI B6200 NON 128MB 24ppm 1200x1200dpi A4,,oki-b6200-non-128mb-24ppm-1200x1200dpi-a4,,true,"{""maximum_print_size"":""A4 (210 x 297 mm)"",""name"":""OKI B6200 NON 128MB 24ppm 1200x1200dpi A4"",""release_date"":""12 \u0430\u0432\u0433. 2005""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
3,385,9ebab9f4-ca12-42bc-b535-d93b2b5005d1,1002239,Lexmark X632s MFP,f/f/b/6/ffb6996b55304792087887ec118ba7c176af6acd_1002239_7457.jpg,lexmark-x632s-mfp,,true,"{""maximum_print_size"":""A4 (210 x 297 mm)"",""multifunctional_functions"":[""N""],""picture"":""f\/f\/b\/6\/ffb6996b55304792087887ec118ba7c176af6acd_1002239_7457.jpg"",""name"":""Lexmark X632s MFP"",""release_date"":""9 \u0430\u0432\u0433. 2007"",""color_scanning"":false}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
4,380,f9e06fc3-c127-4923-b4b7-af24447bef74,1002311,Lexmark T640n,2/d/3/a/2d3aaf4c914b34912352eaaf2e58f3de91f7696d_1002311_3210.jpg,lexmark-t640n,,true,"{""picture"":""2\/d\/3\/a\/2d3aaf4c914b34912352eaaf2e58f3de91f7696d_1002311_3210.jpg"",""name"":""Lexmark T640n"",""release_date"":""9 \u0430\u0432\u0433. 2007""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
5,387,d9982fde-4426-402f-b887-8480de8dc0b8,1004114,Kodak i1410,b/4/9/2/b492c229f519f688a8a557d2aaa553415836e2f1_1004114_4416.jpg,kodak-i1410,,true,"{""picture"":""b\/4\/9\/2\/b492c229f519f688a8a557d2aaa553415836e2f1_1004114_4416.jpg"",""name"":""Kodak i1410"",""release_date"":""9 \u0430\u0432\u0433. 2007"",""color_scanning"":true}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
6,381,fa1901d2-bd32-42a7-8b9f-76b422225642,10055902,Philips 37PFL9606H,2/b/4/3/2b4374d76bd656d5421017f8d915b0b65b113e8b_10055902_Philips.jpg,philips-37pfl9606h,,true,"{""picture"":""2\/b\/4\/3\/2b4374d76bd656d5421017f8d915b0b65b113e8b_10055902_Philips.jpg"",""name"":""Philips 37PFL9606H"",""weight"":{""amount"":""999"",""unit"":""\u043a\u0433""},""display_diagonal"":{""amount"":""37"",""unit"":""\u0434\u044e\u0439\u043c""},""description"":""<p><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">\u041f\u0430\u0440\u0430\u043c\u0435\u0442\u0440&nbsp;<\/font><code class=\""literal\"" style=\""font-family: Consolas, Menlo, &quot;DejaVu Sans Mono&quot;, &quot;Bitstream Vera Sans Mono&quot;, &quot;Lucida Console&quot;, monospace; font-size: 0.9em; color: rgb(85, 85, 85); word-break: break-word; padding: 0px 3px; display: inline; white-space: pre-wrap; background: rgb(248, 248, 248);\"">stem_exclusion<\/code><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\""><font style=\""vertical-align: inherit;\"">\u043f\u043e\u0437\u0432\u043e\u043b\u044f\u0435\u0442 \u0432\u0430\u043c \u0443\u043a\u0430\u0437\u0430\u0442\u044c \u043c\u0430\u0441\u0441\u0438\u0432 \u0441\u0442\u0440\u043e\u0447\u043d\u044b\u0445 \u0441\u043b\u043e\u0432, \u043a\u043e\u0442\u043e\u0440\u044b\u0435 \u043d\u0435 \u0434\u043e\u043b\u0436\u043d\u044b \u0431\u044b\u0442\u044c \u043e\u0431\u044a\u0435\u0434\u0438\u043d\u0435\u043d\u044b \u0432 \u043e\u0441\u043d\u043e\u0432\u0443.&nbsp;<\/font><font style=\""vertical-align: inherit;\"">\u0412\u043d\u0443\u0442\u0440\u0438 \u044d\u0442\u043e\u0442 \u0444\u0443\u043d\u043a\u0446\u0438\u043e\u043d\u0430\u043b \u0440\u0435\u0430\u043b\u0438\u0437\u043e\u0432\u0430\u043d \u0434\u043e\u0431\u0430\u0432\u043b\u0435\u043d\u0438\u0435\u043c&nbsp;<\/font><\/font><a class=\""xref\"" href=\""https:\/\/www.elastic.co\/guide\/en\/elasticsearch\/reference\/current\/analysis-keyword-marker-tokenfilter.html\"" title=\""\u0424\u0438\u043b\u044c\u0442\u0440 \u043c\u0430\u0440\u043a\u0435\u0440\u0430 \u043a\u043b\u044e\u0447\u0435\u0432\u043e\u0433\u043e \u0441\u043b\u043e\u0432\u0430\"" style=\""color: rgb(0, 119, 204); font-family: Inter, sans-serif; outline: none; outline-offset: 0px; font-size: 16px;\""><code class=\""literal\"" style=\""font-family: Consolas, Menlo, &quot;DejaVu Sans Mono&quot;, &quot;Bitstream Vera Sans Mono&quot;, &quot;Lucida Console&quot;, monospace; font-size: 0.9em; color: rgb(0, 169, 229); word-break: break-word; padding: 0px 3px; display: inline; white-space: pre-wrap; background: rgb(248, 248, 248);\"">keyword_marker<\/code><font style=\""vertical-align: inherit;\""><font style=\""vertical-align: inherit;\"">\u0444\u0438\u043b\u044c\u0442\u0440\u0430 \u0442\u043e\u043a\u0435\u043d\u043e\u0432<\/font><\/font><\/a><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">&nbsp;\u0441&nbsp;<\/font><code class=\""literal\"" style=\""font-family: Consolas, Menlo, &quot;DejaVu Sans Mono&quot;, &quot;Bitstream Vera Sans Mono&quot;, &quot;Lucida Console&quot;, monospace; font-size: 0.9em; color: rgb(85, 85, 85); word-break: break-word; padding: 0px 3px; display: inline; white-space: pre-wrap; background: rgb(248, 248, 248);\"">keywords<\/code><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">\u043d\u0430\u0431\u043e\u0440\u043e\u043c \u043a \u0437\u043d\u0430\u0447\u0435\u043d\u0438\u044e&nbsp;<\/font><code class=\""literal\"" style=\""font-family: Consolas, Menlo, &quot;DejaVu Sans Mono&quot;, &quot;Bitstream Vera Sans Mono&quot;, &quot;Lucida Console&quot;, monospace; font-size: 0.9em; color: rgb(85, 85, 85); word-break: break-word; padding: 0px 3px; display: inline; white-space: pre-wrap; background: rgb(248, 248, 248);\"">stem_exclusion<\/code><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">\u043f\u0430\u0440\u0430\u043c\u0435\u0442\u0440\u0430.<\/font><\/p><p><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">\u0419\u043e\u043b\u0430\u043a\u0430<\/font><\/p><p><font style=\""font-family: Inter, sans-serif; color: rgb(33, 37, 41); font-size: 16px; vertical-align: inherit;\"">\u0439\u043e\u0434<\/font><\/p><p><br><\/p>"",""release_date"":""31 \u0438\u044e\u043b. 2011""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
7,380,720f1784-3221-42cd-b9db-37f698fcb10e,10058031,Xerox Phaser 6000B,c/a/9/f/ca9f71777fcd850fd5cd6e7c54a9443efa2a9629_10058031_9207.jpg,xerox-phaser-6000b,,true,"{""maximum_print_size"":""Legal (216 x 356 mm)"",""picture"":""c\/a\/9\/f\/ca9f71777fcd850fd5cd6e7c54a9443efa2a9629_10058031_9207.jpg"",""name"":""Xerox Phaser 6000B"",""weight"":{""amount"":""11"",""unit"":""\u043a\u0433""},""release_date"":""1 \u0430\u0432\u0433. 2011""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:04,2023-06-11 17:26:04
8,385,c869e225-9a57-4c8b-accc-1653bb448932,10066052,Lexmark T652DN,4/5/7/b/457bd084b15f5b19d54e1ea93519228dd9a76106_10066052_6998.jpg,lexmark-t652dn,,true,"{""maximum_print_size"":""Legal (216 x 356 mm)"",""multifunctional_functions"":[""N""],""picture"":""4\/5\/7\/b\/457bd084b15f5b19d54e1ea93519228dd9a76106_10066052_6998.jpg"",""name"":""Lexmark T652DN"",""release_date"":""2 \u0430\u0432\u0433. 2011"",""color_scanning"":false}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:05,2023-06-11 17:26:05
9,380,d32d0a01-04fa-4643-9293-62762421e4b4,101546,Lexmark C752n + X5150,f/7/6/6/f766f1cf7df120f8bc367f6610b52a0dc954cf06_101546_5518.jpg,lexmark-c752n-x5150,,true,"{""picture"":""f\/7\/6\/6\/f766f1cf7df120f8bc367f6610b52a0dc954cf06_101546_5518.jpg"",""name"":""Lexmark C752n + X5150"",""weight"":{""amount"":""48"",""unit"":""\u043a\u0433""},""release_date"":""15 \u0438\u044e\u043b. 2005""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:05,2023-06-11 17:26:05
10,380,1955228c-2618-4fe2-be67-06660f5f9776,102696,Lexmark C510 KLEUREN LASERPRINTER,9/b/0/6/9b06a36547642d642b9dbc0cf08f37781a5d7530_102696.jpg,lexmark-c510-kleuren-laserprinter,,true,"{""maximum_print_size"":""A4 (210 x 297 mm)"",""picture"":""9\/b\/0\/6\/9b06a36547642d642b9dbc0cf08f37781a5d7530_102696.jpg"",""name"":""Lexmark C510 KLEUREN LASERPRINTER"",""weight"":{""amount"":""30"",""unit"":""\u043a\u0433""},""release_date"":""27 \u0438\u044e\u043d. 2005""}","{""PACK"":{""products"":[],""product_models"":[],""groups"":[]},""UPSELL"":{""products"":[],""product_models"":[],""groups"":[]},""X_SELL"":{""products"":[],""product_models"":[],""groups"":[]},""SUBSTITUTION"":{""products"":[],""product_models"":[],""groups"":[]}}",2023-06-11 17:26:05,2023-06-11 17:26:05
